TDIV;CHANGM;SFS
57312;1860,8414863968;RNAseq only
87286;1267,2546859196;RNAseq only
51033;1795,2571999503;RNAseq only
15058;4744,9367895954;RNAseq only
68247;1152,6871346064;RNAseq only
38080;1172,9426770880;RNAseq only
16693;1145,5401181716;RNAseq only
35635;4556,9479136295;RNAseq only
27524;2301,6158831988;RNAseq only
40196;3577,0637779968;RNAseq only
93032;1174,9170829880;RNAseq only
39617;1060,3776045123;RNAseq only
32399;2259,3969036553;RNAseq only
73602;1348,4200459734;RNAseq only
46920;1055,0885291760;RNAseq only
44308;1107,4081653580;RNAseq only
110924;1384,2893134180;RNAseq only
112846;1166,7667144446;RNAseq only
52905;1148,9493759660;RNAseq only
29363;1182,8694776931;RNAseq only
13326;1339,0312475340;RNAseq only
61683;2331,9414578088;RNAseq only
87302;1547,3902617266;RNAseq only
83261;1254,6008270812;RNAseq only
20163;1321,2027966423;RNAseq only
34511;1112,0292860001;RNAseq only
78928;1215,3056955216;RNAseq only
28317;1279,3298550759;RNAseq only
44848;2100,8542091504;RNAseq only
12840;1168,7684215200;RNAseq only
107104;1212,8024474048;RNAseq only
13115;3248,5553984520;RNAseq only
44500;1197,3425341000;RNAseq only
54500;1878,0450608000;RNAseq only
11542;1678,1098010320;RNAseq only
36741;2146,4491795116;RNAseq only
40687;1286,4058184018;RNAseq only
17381;4767,2747864196;RNAseq only
41511;1141,5828569943;RNAseq only
62959;1184,5222734150;RNAseq only
71627;1587,4331941071;RNAseq only
20483;1104,2718476478;RNAseq only
38370;2733,1560967890;RNAseq only
52235;1193,7979856090;RNAseq only
7370;973,9188670310;RNAseq only
28900;2808,0420449400;RNAseq only
29612;1172,0404370576;RNAseq only
38214;1200,0786734178;RNAseq only
7031;1528,3273141036;RNAseq only
14341;2837,2559295355;RNAseq only
14823;2048,7335239323;RNAseq only
19705;1558,3547383565;RNAseq only
43152;1163,1313624176;RNAseq only
70293;802,6007503104;RNAseq only
36759;1108,0918761225;RNAseq only
65995;1018,1262473800;RNAseq only
65691;1270,6612429185;RNAseq only
77237;1019,3261780866;RNAseq only
118979;1182,3169409079;RNAseq only
22535;1266,5158896825;RNAseq only
22888;1178,6573095896;RNAseq only
17023;1407,3299653927;RNAseq only
41197;1523,2825078536;RNAseq only
35554;1355,2873133636;RNAseq only
33000;2793,1755984000;RNAseq only
62213;1021,5531998890;RNAseq only
19644;2686,4843433072;RNAseq only
27639;1591,0434600039;RNAseq only
14447;4435,6525499225;RNAseq only
64318;2658,7633276082;RNAseq only
42626;1052,5422407188;RNAseq only
11300;2376,4845245000;RNAseq only
8726;1572,5405123448;RNAseq only
16992;3885,1171623936;RNAseq only
7207;2185,0748032392;RNAseq only
25958;3078,5461747076;RNAseq only
50749;1234,8342697108;RNAseq only
64475;1173,2669458400;RNAseq only
23134;1566,6305240860;RNAseq only
7496;1070,0701021576;RNAseq only
9798;3755,6608344126;RNAseq only
37438;1273,5171509554;RNAseq only
23114;2820,1871131070;RNAseq only
52375;900,6050683125;RNAseq only
38076;1425,6741507876;RNAseq only
82834;1622,8828168260;RNAseq only
29557;1474,3769520062;RNAseq only
55545;1818,0240542310;RNAseq only
19418;3400,5163066070;RNAseq only
63011;1190,6194104376;RNAseq only
18200;5064,5402644200;RNAseq only
66544;1071,2822403920;RNAseq only
34399;1192,7703683148;RNAseq only
17216;1011,4605731200;RNAseq only
